Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,274.899994,280.000000,274.399994,279.399994,279.399994,24531791
2021-01-04,281.850006,283.899994,277.750000,281.049988,281.049988,31450608
2021-01-05,278.049988,282.450012,277.000000,281.750000,281.750000,27393072
2021-01-06,283.000000,289.149994,281.399994,285.049988,285.049988,40765708
2021-01-07,289.000000,291.799988,287.000000,287.700012,287.700012,30546600
2021-01-08,290.100006,291.399994,285.200012,286.000000,286.000000,32543357
2021-01-11,288.000000,288.200012,279.600006,282.500000,282.500000,29703173
2021-01-12,280.000000,293.850006,277.899994,292.500000,292.500000,44307145
2021-01-13,296.000000,308.000000,294.500000,306.799988,306.799988,78042133
2021-01-14,306.700012,309.250000,303.799988,307.250000,307.250000,40123498
2021-01-15,306.799988,310.899994,301.299988,303.850006,303.850006,35307601
2021-01-18,303.500000,308.649994,292.200012,294.450012,294.450012,54969750
2021-01-19,297.649994,302.500000,296.399994,298.600006,298.600006,35803901
2021-01-20,298.799988,304.700012,296.850006,302.549988,302.549988,33759304
2021-01-21,304.000000,305.149994,291.500000,294.850006,294.850006,29995203
2021-01-22,295.500000,298.000000,282.399994,283.700012,283.700012,44440810
2021-01-25,284.500000,288.000000,277.049988,280.950012,280.950012,34034630
2021-01-27,280.200012,284.850006,272.700012,275.649994,275.649994,39211107
2021-01-28,271.899994,283.350006,269.500000,282.350006,282.350006,48717297
2021-01-29,285.600006,290.649994,279.100006,282.100006,282.100006,42300984
2021-02-01,285.100006,313.899994,282.750000,310.700012,310.700012,103414068
2021-02-02,315.000000,337.399994,315.000000,333.100006,333.100006,121434166
2021-02-03,333.750000,339.899994,325.799988,335.950012,335.950012,66420168
2021-02-04,334.399994,358.000000,331.100006,355.100006,355.100006,145203439
2021-02-05,387.000000,408.350006,385.149994,393.100006,393.100006,214955688
2021-02-08,398.000000,407.799988,394.750000,397.049988,397.049988,79389205
2021-02-09,396.750000,403.500000,389.000000,394.799988,394.799988,63869990
2021-02-10,394.049988,397.899994,388.000000,392.250000,392.250000,54163507
2021-02-11,391.799988,396.950012,388.250000,390.149994,390.149994,36392708
2021-02-12,391.000000,399.350006,385.549988,393.149994,393.149994,53589755
2021-02-15,397.500000,409.450012,395.700012,406.950012,406.950012,56608937
2021-02-16,412.000000,415.750000,400.299988,402.350006,402.350006,80365431
2021-02-17,403.000000,414.850006,400.149994,411.750000,411.750000,74161370
2021-02-18,425.049988,427.700012,413.700012,415.200012,415.200012,67154539
2021-02-19,415.000000,415.000000,395.000000,399.549988,399.549988,66155518
2021-02-22,400.600006,401.000000,385.649994,389.500000,389.500000,52535049
2021-02-23,392.000000,399.700012,389.000000,395.600006,395.600006,45462768
2021-02-24,397.000000,410.500000,395.200012,406.250000,406.250000,39632090
2021-02-25,411.000000,414.899994,406.549988,407.250000,407.250000,46988836
2021-02-26,399.500000,401.000000,387.000000,390.149994,390.149994,64450414
2021-03-01,395.100006,397.700012,391.000000,394.950012,394.950012,29677890
2021-03-02,395.000000,399.549988,390.549988,394.200012,394.200012,30534337
2021-03-03,396.500000,408.899994,396.000000,405.049988,405.049988,46268223
2021-03-04,398.700012,403.500000,394.450012,395.649994,395.649994,43603653
2021-03-05,395.000000,395.000000,378.100006,383.649994,383.649994,72179228
2021-03-08,388.450012,393.399994,386.049988,389.600006,389.600006,39147858
2021-03-09,393.450012,394.899994,382.250000,387.600006,387.600006,28054083
2021-03-10,391.100006,393.000000,385.700012,387.700012,387.700012,22677399
2021-03-12,391.700012,393.200012,377.500000,381.100006,381.100006,35336355
2021-03-15,382.500000,386.000000,369.350006,383.899994,383.899994,42722585
2021-03-16,385.600006,387.850006,376.100006,378.549988,378.549988,38196452
2021-03-17,378.200012,379.649994,366.049988,368.149994,368.149994,33143064
2021-03-18,371.500000,375.000000,361.100006,367.100006,367.100006,39405038
2021-03-19,363.950012,372.899994,357.250000,371.149994,371.149994,60309145
2021-03-22,372.000000,372.799988,363.500000,367.000000,367.000000,28461974
2021-03-23,368.700012,377.950012,367.049988,372.700012,372.700012,41032380
2021-03-24,368.500000,369.049988,358.649994,359.850006,359.850006,42318999
2021-03-25,360.000000,360.850006,345.200012,355.200012,355.200012,57495003
2021-03-26,360.000000,362.000000,354.549988,357.200012,357.200012,40718848
2021-03-30,360.100006,364.299988,356.299988,360.799988,360.799988,39405124
