Date,Open,High,Low,Close,Adj Close,Volume
01-01-20,334.700012,335.950012,332.149994,334.450012,334.450012,17379320
02-01-20,334.5,339.850006,333.350006,339.299988,339.299988,20324236
03-01-20,337.950012,337.950012,332,333.700012,333.700012,21853208
06-01-20,331.700012,331.700012,317.700012,319,319,35645325
07-01-20,324.450012,327,315.399994,318.399994,318.399994,50966826
08-01-20,312.100006,321.5,311,319.799988,319.799988,44527485
09-01-20,326.899994,331.399994,325,330.200012,330.200012,40348407
10-01-20,331,337.950012,328.100006,332.25,332.25,42377838
13-01-20,334,335.450012,329.049988,330.75,330.75,23615129
14-01-20,329.799988,331.700012,326.5,328,328,26296117
15-01-20,329,329.200012,322.350006,324.25,324.25,32625740
16-01-20,324,326.899994,322.350006,323.299988,323.299988,26653623
17-01-20,313,323.5,310.100006,318,318,58396326
20-01-20,321,321.450012,313.399994,314,314,30682902
21-01-20,313.799988,316.950012,312,313.700012,313.700012,30591772
22-01-20,317,317,313.700012,316.149994,316.149994,24994911
23-01-20,316,324.799988,314.149994,323.200012,323.200012,33293610
24-01-20,323.5,327.299988,321.149994,324.049988,324.049988,22706879
27-01-20,320.899994,322,315.799988,316.200012,316.200012,23309355
28-01-20,317.950012,320,311.049988,315.100006,315.100006,26488426
29-01-20,317.850006,319.700012,315.549988,316.450012,316.450012,23914114
30-01-20,316.75,316.75,305.649994,310.700012,310.700012,35802330
31-01-20,313.700012,321.700012,308.600006,318.450012,318.450012,92656638
03-02-20,303,306.850006,295.350006,298.100006,298.100006,56060158
04-02-20,302.899994,307.549988,297.100006,306.25,306.25,51141567
05-02-20,306.899994,313.649994,304.600006,311,311,35014841
06-02-20,311.200012,323.5,310.100006,321.950012,321.950012,57757656
07-02-20,321.5,325,318.399994,320.549988,320.549988,37126803
10-02-20,319.799988,322.799988,316.5,318.5,318.5,24816396
11-02-20,321.049988,325.799988,321.049988,324.350006,324.350006,30188757
12-02-20,329.899994,329.899994,319.25,320.200012,320.200012,38930849
13-02-20,322,330.950012,322,327.450012,327.450012,62516057
14-02-20,328.100006,331.899994,318.549988,319.399994,319.399994,48205947
17-02-20,320.950012,321.149994,311.649994,314.200012,314.200012,36950692
18-02-20,315.399994,319.200012,309.399994,317.549988,317.549988,38588583
19-02-20,322.299988,324,317.25,320.350006,320.350006,39846727
20-02-20,319.350006,329.200012,318.75,327.649994,327.649994,40150409
24-02-20,325.75,331.299988,321.850006,322.950012,322.950012,45273936
25-02-20,325.899994,328.149994,322.200012,326.799988,326.799988,39050709
26-02-20,324.850006,330.799988,324.200012,328.200012,328.200012,43915281
27-02-20,328,330,318,321.950012,321.950012,47010040
28-02-20,312,314.649994,301.100006,303,303,59705346
02-03-20,311,312,284.049988,287.399994,287.399994,66711413
03-03-20,293,294.399994,285.299988,289.850006,289.850006,61949382
04-03-20,291.799988,293,275.100006,285.299988,285.299988,73675736
05-03-20,290.899994,298.399994,270,288.5,288.5,149245973
06-03-20,268,274.399994,253.949997,270.5,270.5,106043172
09-03-20,260.049988,262.75,251.149994,253.449997,253.449997,101286241
11-03-20,253,258.5,243.100006,245.100006,245.100006,90845604
12-03-20,231.899994,231.899994,208.600006,212.600006,212.600006,99767083
13-03-20,200,248.800003,184.649994,242,242,155701316
16-03-20,227.899994,231.399994,220.600006,223.350006,223.350006,75583409
17-03-20,227.199997,229.899994,212.050003,215.149994,215.149994,65403057
18-03-20,221,223.149994,200.100006,215.199997,215.199997,101356399
19-03-20,202.949997,219.75,198.149994,203.649994,203.649994,93533467
20-03-20,205.550003,215.699997,200,209.850006,209.850006,77391650
23-03-20,190,199.5,180.25,181.600006,181.600006,61750037
24-03-20,190.949997,191.949997,173.550003,183.199997,183.199997,67491360
25-03-20,178,195.25,176.449997,189.899994,189.899994,71567553
26-03-20,191.550003,201,185.100006,192.75,192.75,107260359
27-03-20,202,211.899994,195,195.949997,195.949997,114740377
30-03-20,190,195,186.25,186.899994,186.899994,60081554
31-03-20,192,198.5,188.050003,196.850006,196.850006,59543412
01-04-20,194,194.5,185.25,186.550003,186.550003,52954239
03-04-20,187.550003,188.199997,175,175.5,175.5,64448494
07-04-20,184.399994,187.300003,177.600006,186.399994,186.399994,72130500
08-04-20,182.899994,194.399994,180.449997,183,183,80435759
09-04-20,188,190,183.600006,187.75,187.75,62416005
13-04-20,186.800003,188.699997,183.100006,183.5,183.5,51847146
15-04-20,187,191.949997,180.149994,182.350006,182.350006,72190004
16-04-20,182,189.899994,180.25,188.5,188.5,61165773
17-04-20,196,198,186.300003,193.25,193.25,89851063
20-04-20,194,197.350006,190.050003,192.5,192.5,81958510
21-04-20,188,188.199997,183,184.75,184.75,53042420
22-04-20,185.5,189.5,181.350006,188.699997,188.699997,61503413
23-04-20,187.75,189.899994,185.149994,186.699997,186.699997,50955312
24-04-20,184,184,179,179.75,179.75,65137305
27-04-20,183.5,183.5,180.5,180.899994,180.899994,42996571
28-04-20,182,185.350006,181.199997,184.300003,184.300003,49590230
29-04-20,185,191.800003,183.5,190.100006,190.100006,57470466
30-04-20,193.5,195.899994,189.699997,190.5,190.5,63063889
04-05-20,182.449997,183.5,178,178.850006,178.850006,58118177
05-05-20,181,181.25,168.800003,170.399994,170.399994,91050439
06-05-20,171.149994,173.300003,166.550003,171.100006,171.100006,73156432
07-05-20,170.850006,172.550003,168.800003,170.75,170.75,42942399
08-05-20,172.449997,173.800003,166.100006,166.649994,166.649994,55932236
11-05-20,167.949997,168.899994,165,165.449997,165.449997,54591827
12-05-20,164.199997,168.5,160.850006,166.899994,166.899994,70752542
13-05-20,178.550003,178.550003,170.5,174.100006,174.100006,81720683
14-05-20,170.949997,171.75,167.5,167.949997,167.949997,48136531
15-05-20,167.949997,168.25,164.699997,166.399994,166.399994,35495540
18-05-20,166.399994,166.399994,155,155.300003,155.300003,77349435
19-05-20,157.5,157.850006,152.399994,152.800003,152.800003,71522334
20-05-20,153,155.25,151.149994,153.399994,153.399994,66168767
21-05-20,153.649994,156.149994,151.5,151.949997,151.949997,61147471
22-05-20,152,155.600006,149.449997,150.850006,150.850006,87064198
26-05-20,152.399994,153.199997,150.199997,151.399994,151.399994,48275988
27-05-20,151.949997,160.800003,150.800003,158.600006,158.600006,88195120
28-05-20,159.449997,162.399994,156.699997,158.199997,158.199997,76968678
29-05-20,156.100006,161.899994,155.199997,161.300003,161.300003,58363280
01-06-20,164,171.399994,163.350006,170.050003,170.050003,92740893
02-06-20,169.899994,171.300003,167.199997,170.25,170.25,70419104
03-06-20,172.5,179.899994,172,174.899994,174.899994,113168889
04-06-20,174.899994,177.649994,171.5,174.050003,174.050003,83494674
05-06-20,176.550003,189.800003,176,187.800003,187.800003,201321234
08-06-20,197,197.5,185.800003,186.800003,186.800003,151741826
09-06-20,187.699997,191,183.350006,184.449997,184.449997,96654191
10-06-20,184.550003,189,183.800003,187.699997,187.699997,67333317
11-06-20,188,190.399994,176.350006,177.149994,177.149994,91726802
12-06-20,170,180,169.800003,179.149994,179.149994,92758901
15-06-20,177.850006,177.850006,172,173.699997,173.699997,63613412
16-06-20,178,178.949997,169.399994,172.899994,172.899994,63925976
17-06-20,171,176.199997,169.25,172.949997,172.949997,73866905
18-06-20,172.399994,180.649994,171.100006,179.649994,179.649994,58261857
19-06-20,180.300003,184.949997,179.5,184.5,184.5,76895151
22-06-20,185,191.75,184.25,187.699997,187.699997,80023958
23-06-20,189.600006,193.100006,187.850006,192.449997,192.449997,65487085
24-06-20,194.800003,194.899994,183.899994,184.600006,184.600006,74668987
25-06-20,182.199997,186.800003,180.399994,185.25,185.25,73620385
26-06-20,188,188.600006,183.800003,184.600006,184.600006,49176958
29-06-20,183,183.100006,178.5,179.25,179.25,50966428
30-06-20,181.100006,182.899994,177.25,178.449997,178.449997,43613239
01-07-20,179.449997,185.399994,178.600006,184.800003,184.800003,54012853
02-07-20,185.649994,188,184,185.449997,185.449997,52127276
03-07-20,186.649994,186.850006,183.399994,184.699997,184.699997,38048810
06-07-20,186.600006,189.850006,186.149994,188.050003,188.050003,43773740
07-07-20,187,189.199997,184.050003,188.600006,188.600006,55124494
08-07-20,188.899994,197.449997,188.399994,191.899994,191.899994,143063102
09-07-20,192.800003,201,192.550003,199.100006,199.100006,89539723
10-07-20,198,202.5,194.800003,195.600006,195.600006,111406477
13-07-20,198.800003,199.800003,191.600006,192.699997,192.699997,61949761
14-07-20,192.300003,192.300003,184.600006,186.050003,186.050003,62239932
15-07-20,187.949997,189.949997,183,183.800003,183.800003,58527305
16-07-20,185,186.949997,181.649994,186.25,186.25,46546803
17-07-20,186.800003,189.5,185,188.199997,188.199997,47035238
20-07-20,190,193.25,188.75,190.75,190.75,45672856
21-07-20,192.449997,196.199997,191.5,194.399994,194.399994,59281860
22-07-20,195.699997,196.75,190.100006,192,192,62276152
23-07-20,192.399994,199.100006,191.149994,198.25,198.25,70801412
24-07-20,195.699997,196.300003,190.649994,191.949997,191.949997,65265493
27-07-20,193,193.199997,186.5,187.149994,187.149994,50697767
28-07-20,188,190.5,185.75,189.449997,189.449997,51488617
29-07-20,187.600006,195.25,187,191.199997,191.199997,73763368
30-07-20,192.5,193.5,186.050003,186.550003,186.550003,48472816
31-07-20,188,194.850006,186.699997,191.449997,191.449997,145892485
03-08-20,192,194.600006,190.050003,192.25,192.25,72454278
04-08-20,193.350006,193.800003,190.5,191.600006,191.600006,43866676
05-08-20,192.75,196.850006,191,191.449997,191.449997,68888892
06-08-20,192.300003,194.5,190.25,190.949997,190.949997,59740172
07-08-20,191.449997,192.100006,189.550003,190.649994,190.649994,44822338
10-08-20,191.850006,195.5,191.699997,193.800003,193.800003,48784530
11-08-20,195,196.800003,193.75,195.050003,195.050003,43890305
12-08-20,196,204.25,194.600006,203.300003,203.300003,157818228
13-08-20,205.5,207.300003,200.75,201.899994,201.899994,70443118
14-08-20,203,204,194.600006,196.5,196.5,56169088
17-08-20,198.449997,198.649994,191.5,193.100006,193.100006,54787889
18-08-20,193.800003,195.75,191.699997,195.100006,195.100006,46294169
19-08-20,196.399994,200.300003,195.899994,197.050003,197.050003,59296062
20-08-20,194,196.350006,193.25,194.75,194.75,37504602
21-08-20,199,201.5,197.649994,198.399994,198.399994,68041871
24-08-20,200,202.800003,198.600006,201.449997,201.449997,53850253
25-08-20,204,208.449997,202.699997,207.949997,207.949997,105394375
26-08-20,208.5,210.350006,206.149994,209.850006,209.850006,66749637
27-08-20,210.5,216.5,210.5,215.649994,215.649994,80997993
28-08-20,217,225.899994,216.800003,224.850006,224.850006,95974037
31-08-20,231.550003,231.550003,210.350006,212,212,119986476
01-09-20,213.100006,218.899994,211.199997,218.100006,218.100006,75048313
02-09-20,218.25,219,212.300003,216.25,216.25,47608088
03-09-20,217.5,218.25,212.300003,213.149994,213.149994,38594129
04-09-20,210,212.300003,205.899994,206.600006,206.600006,54435758
07-09-20,207.5,209.649994,205.399994,207.899994,207.899994,35687359
08-09-20,207.899994,208.5,202.899994,204.050003,204.050003,34146789
09-09-20,201.100006,201.399994,192.5,194.850006,194.850006,72715826
10-09-20,197.699997,201.449997,195.199997,198.149994,198.149994,67789617
11-09-20,198.550003,203.850006,197,202.699997,202.699997,48487971
14-09-20,205.899994,206.199997,197.350006,198.5,198.5,63605531
15-09-20,199.899994,201,197.100006,200.149994,200.149994,51761038
16-09-20,199.850006,200.050003,196.25,198.199997,198.199997,52404964
17-09-20,197,198,195,195.449997,195.449997,41223296
18-09-20,196,197.199997,189.699997,192.600006,192.600006,55286316
21-09-20,193.050003,193.5,184.25,185.800003,185.800003,57611375
22-09-20,186.149994,188.300003,181.149994,186.199997,186.199997,51210889
23-09-20,188.149994,188.949997,181,183.800003,183.800003,44320497
24-09-20,181.100006,181.800003,175.5,176.350006,176.350006,46114798
25-09-20,179,182.75,176.149994,182.199997,182.199997,46550127
28-09-20,184,188.149994,183.350006,187.25,187.25,41921548
29-09-20,188.5,188.949997,183.25,185.050003,185.050003,35688726
30-09-20,185.050003,186.800003,182.399994,185.399994,185.399994,37641083
01-10-20,187,191.199997,186.899994,190.300003,190.300003,43588724
05-10-20,192,193.800003,187.050003,188.75,188.75,41694686
06-10-20,191.100006,192.100006,188.300003,191.600006,191.600006,31098726
07-10-20,192.550003,193.149994,189.100006,190.699997,190.699997,34578053
08-10-20,191.350006,195.800003,190.550003,191.5,191.5,43351606
09-10-20,192,198.800003,190.550003,198.300003,198.300003,64907230
12-10-20,199.699997,205.949997,197.25,198.699997,198.699997,69122798
13-10-20,198.649994,200,195.100006,195.699997,195.699997,34948525
14-10-20,194.050003,200.899994,193.050003,200.050003,200.050003,40548275
15-10-20,201,202.5,192,192.850006,192.850006,49184123
16-10-20,194,196.75,191.600006,195.949997,195.949997,36893126
19-10-20,196.199997,204.600006,196.050003,204,204,60220779
20-10-20,201,204.350006,200.699997,203.050003,203.050003,39316753
21-10-20,204.699997,207.300003,198.850006,203.75,203.75,54515523
22-10-20,201.899994,204.600006,201.100006,203.300003,203.300003,33721637
23-10-20,204,205.600006,201.550003,202.800003,202.800003,32707020
26-10-20,202.699997,204,195.600006,196.699997,196.699997,45470123
27-10-20,197.25,197.550003,192.25,194.649994,194.649994,37794381
28-10-20,195,195,189.050003,190.449997,190.449997,46458319
29-10-20,189.350006,190.699997,185.899994,188.699997,188.699997,44822673
30-10-20,189.350006,192,186.149994,189.25,189.25,41519686
02-11-20,192.199997,197.25,190.050003,196.050003,196.050003,52600119
03-11-20,198,205.800003,197.600006,204.75,204.75,69890201
04-11-20,203.5,209,198.050003,207,207,117577856
05-11-20,216,221,214.75,218.649994,218.649994,138023646
06-11-20,219,221.850006,217.050003,219.199997,219.199997,73147085
09-11-20,222.5,222.649994,217.050003,219.5,219.5,60359458
10-11-20,223.100006,235,223,231.699997,231.699997,135294550
11-11-20,232.75,239.350006,227.75,234.199997,234.199997,107094861
12-11-20,233.199997,233.350006,225.649994,226.800003,226.800003,58859905
13-11-20,225,230.649994,220.100006,229.449997,229.449997,70676525
17-11-20,231.850006,241.600006,231,240.199997,240.199997,80501583
18-11-20,239.399994,253,237.899994,252,252,104514060
19-11-20,248,251.800003,239,239.75,239.75,82284278
20-11-20,241.5,245.399994,233.949997,242.75,242.75,84411129
23-11-20,243.5,246.149994,238.100006,238.699997,238.699997,57538324
24-11-20,240.5,245,239.5,243.850006,243.850006,47636611
25-11-20,245.449997,249.899994,241.600006,243,243,74767232
26-11-20,244,246.25,240.149994,245.449997,245.449997,64248318
27-11-20,245.449997,246.25,242.050003,244.25,244.25,54355703
01-12-20,245,248.949997,244.25,248.050003,248.050003,37003272
02-12-20,248.350006,250.850006,244.100006,246.949997,246.949997,56723083
03-12-20,249.300003,259,248,256.299988,256.299988,79266442
04-12-20,257,264.350006,253.550003,263.5,263.5,79252024
07-12-20,263.799988,271.450012,263,269.600006,269.600006,76053084
08-12-20,270.950012,273.700012,265.25,271.899994,271.899994,65617502
09-12-20,272.100006,274.899994,269.200012,270.350006,270.350006,48495641
10-12-20,269,271,265.549988,269.549988,269.549988,38676657
11-12-20,270.049988,276.25,270.049988,272.450012,272.450012,50255223
14-12-20,274,276.149994,272.350006,274.200012,274.200012,31946501
15-12-20,274.049988,274.049988,268.149994,270.649994,270.649994,34890948
16-12-20,272.799988,273.649994,268.5,269.399994,269.399994,24844177
17-12-20,270,272.149994,266.700012,267.700012,267.700012,25904699
18-12-20,267.700012,271.950012,265,271.450012,271.450012,29816205
21-12-20,268.450012,269,251.050003,254.699997,254.699997,55160758
22-12-20,254.800003,258.700012,248.25,257.450012,257.450012,51189571
23-12-20,256.950012,263.899994,255.600006,263,263,29056404
24-12-20,265,268.850006,264.649994,266.850006,266.850006,28585509
28-12-20,268.75,276,268,275.200012,275.200012,36870242
29-12-20,276.299988,279.899994,274.700012,277.899994,277.899994,45032526
30-12-20,278,278.700012,272.5,276.899994,276.899994,30971894
